baseline,shape,impl,size,gibps
portable,ascii,smoothutf8,1,0.53015
portable,ascii,simdutf8,1,0.23326
portable,ascii,std_from_utf8,1,0.23398
portable,ascii,smoothutf8_slack,1,0.67900
portable,ascii,smoothutf8_slackbuf,1,0.70045
portable,ascii,smoothutf8,2,1.01451
portable,ascii,simdutf8,2,0.40915
portable,ascii,std_from_utf8,2,0.40548
portable,ascii,smoothutf8_slack,2,1.35940
portable,ascii,smoothutf8_slackbuf,2,1.39097
portable,ascii,smoothutf8,4,2.49617
portable,ascii,simdutf8,4,0.52031
portable,ascii,std_from_utf8,4,0.52812
portable,ascii,smoothutf8_slack,4,2.65637
portable,ascii,smoothutf8_slackbuf,4,2.80118
portable,ascii,smoothutf8,8,3.34827
portable,ascii,simdutf8,8,0.93638
portable,ascii,std_from_utf8,8,0.90547
portable,ascii,smoothutf8_slack,8,5.42808
portable,ascii,smoothutf8_slackbuf,8,5.66929
portable,ascii,smoothutf8,16,5.87747
portable,ascii,simdutf8,16,3.17844
portable,ascii,std_from_utf8,16,2.95242
portable,ascii,smoothutf8_slack,16,8.11080
portable,ascii,smoothutf8_slackbuf,16,7.20280
portable,ascii,smoothutf8,32,9.95568
portable,ascii,simdutf8,32,4.66741
portable,ascii,std_from_utf8,32,4.30999
portable,ascii,smoothutf8_slack,32,12.31908
portable,ascii,smoothutf8_slackbuf,32,10.80107
portable,ascii,smoothutf8,64,11.76260
portable,ascii,simdutf8,64,15.14038
portable,ascii,std_from_utf8,64,5.90496
portable,ascii,smoothutf8_slack,64,12.90423
portable,ascii,smoothutf8_slackbuf,64,13.02179
portable,ascii,smoothutf8,128,18.12821
portable,ascii,simdutf8,128,22.66853
portable,ascii,std_from_utf8,128,11.24828
portable,ascii,smoothutf8_slack,128,20.15645
portable,ascii,smoothutf8_slackbuf,128,20.06789
portable,ascii,smoothutf8,256,23.42489
portable,ascii,simdutf8,256,30.19218
portable,ascii,std_from_utf8,256,19.18707
portable,ascii,smoothutf8_slack,256,22.23846
portable,ascii,smoothutf8_slackbuf,256,22.59463
portable,ascii,smoothutf8,512,28.70956
portable,ascii,simdutf8,512,41.80948
portable,ascii,std_from_utf8,512,24.49716
portable,ascii,smoothutf8_slack,512,29.55297
portable,ascii,smoothutf8_slackbuf,512,29.87327
